name
Replicate
Day
Year
Ullswater to Haweswater
Swindale to Haweswater
Thirlmere spill
Thirlmere inflow
Stream_00008
Conduit_00009
Conduit_00010
Conduit_00011
Conduit_00011.1
Lancaster
LCUS
LCUS Above MRF
Franklaw BHs
Stream_00020
Thorneybank
Conduit_00022
Hodder WTW
Conduit_00025
Link71
Conduit_00027
Link52
Link58
Conduit_00032
LCUS South
Stream_00035
Stream_00037
Conduit_00038
Gravity
Stream_00042
Conduit_00044
Stream_00045
Stream_00046
Stream_00047
Stream_00048
Conduit_00052
Conduit_00053
Stream_00054
Stream_00055
Rivington Diesel Pump
Conduit_00058
Stream_00060
Bolton WTW
Stream_00062
Conduit_00063
Stream_00064
Max
Min
Conduit_00067
Conduit_00068
Conduit_00068.1
Pump
Rivington to TA
Conduit_00072
Conduit_00072.1
WELM Pump
WELM Gravity
Conduit_00075
Conduit_00076
Conduit_00077
Godley WTW
Conduit_00079
Conduit_00081
Conduit_00082
Stream_00083
Stream_00084
Stream_00086
Alwen compensation flow
Brenig Regulation
Conduit_00095
Conduit_00098
Max.1
Min.1
Oswestry WTW
Lake Vyrnwy
Conduit_00108
Conduit_00109
Alwen Spill
Brenig Compensation
Compensation
Stream_00117
Stream_00118
Stream_00118.1
Thirlmere compensation and flood release
Brenig Spill
Stream_00126
Stream_00127
Stream_00128
Conduit_00129
Stream_00131
Spill
Dunmail Raise WTW
Conduit_00013
Thirlmere (above CC)
Thirlmere licence
Thirlmere (below CC)
Stream_00065
Above CC
Below CC
Stream_00127.1
Upper Thames abstraction
Stream_00129
Stream_00131.1
WBGWS
Stream_00135
Stream_00136
Conduit_00137
Conduit_00138
Stream_00139
Lower Thames Abs
Stream_00141
Conduit_00142
Stream_00148
Stream_00149
Conduit_00150
Conduit_00151
Stream_00153
Stream_00154
Gateway
Stream_00157
Stream_00156
Teddington Above MRF
ELReD
Stratford Box
CHARS ARS
Hoddeston
NLARS
Hornsey
Stream_00152
Conduit_00165
Conduit_00167
Haweswater Gravity
Shap Pupming Station
WTW minimum flow (gravity)
Conduit_00169
Haweswater compensation release
Bolton compensation release
WTW minimum flow
Environmental
Chester Above MRF
Stream_00166
STW East to West
Stream_00168
Stream_00173
Mythe
Stream_00176
Stream_00176.1
DELETE ME
Stream_00188
Carsington Transfer (fill)
Compensation.1
Whatstandwell
Stream_00197
Conduit_00211
Strensham
Conduit_00210
Conduit_00211.1
Strensham to Mythe
WTW capacity
Minimum flow
Stream_00219
Compensation.2
Stream_00222
